Customer_Age,Annual_Income,Product_Category,Membership_Level,Payment_Method
56,125186,Books,Platinum,Credit Card
69,54674,Clothing,Silver,Credit Card
46,55854,Books,Platinum,PayPal
32,66271,Clothing,Silver,PayPal
60,93688,Books,Silver,Debit Card
25,58518,Beauty,Silver,Cash
38,131076,Beauty,Gold,Credit Card
56,30267,Electronics,Gold,Credit Card
36,110825,Books,Platinum,Cash
40,21062,Home,Platinum,Cash
28,136664,Electronics,Gold,Debit Card
28,70448,Books,Bronze,Cash
41,115462,Books,Gold,Credit Card
53,26229,Electronics,Silver,Credit Card
57,76793,Beauty,Gold,Credit Card
41,134813,Books,Silver,Credit Card
20,67915,Beauty,Platinum,Credit Card
39,24632,Electronics,Bronze,Debit Card
19,124592,Beauty,Platinum,Credit Card
41,23596,Clothing,Silver,Debit Card
61,129779,Home,Silver,Credit Card
47,26168,Books,Silver,PayPal
55,128099,Home,Bronze,PayPal
19,27561,Beauty,Gold,PayPal
38,93794,Books,Platinum,PayPal
50,102152,Beauty,Platinum,Debit Card
29,145036,Clothing,Gold,Debit Card
39,144049,Electronics,Platinum,Cash
61,46734,Books,Bronze,Credit Card
42,26371,Clothing,Platinum,PayPal
66,138894,Clothing,Silver,Debit Card
44,46069,Books,Gold,Credit Card
59,99905,Beauty,Bronze,Credit Card
45,32910,Clothing,Gold,Debit Card
33,93479,Home,Bronze,PayPal
32,97735,Clothing,Silver,Cash
64,101264,Beauty,Gold,Credit Card
68,43275,Beauty,Platinum,Cash
61,92274,Home,Bronze,PayPal
69,101449,Clothing,Gold,PayPal
20,120776,Beauty,Platinum,Cash
54,80004,Books,Gold,PayPal
68,82981,Electronics,Gold,Credit Card
24,104659,Electronics,Gold,Cash
38,74553,Electronics,Bronze,PayPal
26,68447,Clothing,Platinum,Cash
56,54529,Home,Silver,Credit Card
35,146394,Beauty,Bronze,PayPal
21,95703,Books,Bronze,Credit Card
42,96090,Books,Bronze,PayPal
31,37260,Clothing,Silver,Debit Card
67,132581,Electronics,Platinum,PayPal
26,23812,Clothing,Platinum,Cash
43,48024,Home,Platinum,PayPal
19,78656,Home,Gold,Credit Card
37,136148,Beauty,Gold,Credit Card
45,47285,Beauty,Gold,PayPal
64,112436,Home,Silver,Cash
24,136421,Home,Gold,Debit Card
61,21605,Home,Silver,Cash
25,91158,Clothing,Platinum,Debit Card
64,92303,Home,Gold,Credit Card
52,47139,Books,Gold,Cash
31,97149,Electronics,Bronze,Debit Card
34,76138,Home,Silver,PayPal
53,138205,Electronics,Platinum,Credit Card
67,96125,Clothing,Bronze,PayPal
57,33918,Electronics,Bronze,Credit Card
21,105655,Clothing,Platinum,Cash
19,47446,Books,Bronze,Cash
23,144040,Clothing,Silver,Credit Card
59,33046,Clothing,Silver,Credit Card
21,149922,Beauty,Gold,Credit Card
46,44818,Home,Bronze,Cash
35,120894,Home,Gold,Debit Card
43,135751,Books,Bronze,PayPal
61,24324,Books,Silver,PayPal
51,96323,Home,Silver,Cash
27,29111,Beauty,Silver,PayPal
53,58110,Home,Bronze,Credit Card
31,36389,Beauty,Silver,Debit Card
48,142177,Books,Bronze,PayPal
65,61427,Electronics,Gold,Debit Card
32,99579,Books,Bronze,Credit Card
25,48746,Books,Gold,PayPal
31,142883,Clothing,Bronze,Cash
40,107886,Clothing,Gold,Debit Card
57,127141,Clothing,Silver,Credit Card
38,20117,Clothing,Gold,Debit Card
33,145808,Beauty,Silver,PayPal
62,132221,Home,Silver,PayPal
35,104471,Electronics,Gold,Cash
64,132613,Books,Bronze,Credit Card
41,33234,Beauty,Bronze,Credit Card
43,149597,Electronics,Platinum,Cash
42,123864,Beauty,Bronze,Cash
62,73441,Beauty,Platinum,Credit Card
58,20846,Books,Bronze,Debit Card
46,30954,Home,Bronze,Debit Card
32,99239,Clothing,Silver,Cash
